proposed_acc,proposed_f1,proposed_kappa,proposed_js,proposed_maxdiff,knn_acc,knn_f1,true_effect,imp_effect,bias,bias_pct
0.779265873015873,0.7678985299012598,0.6322412043821802,0.019961651540005364,0.0233003041302855,0.7521494708994709,0.7457786695498508,0.08464935983087779,0.10259506554143838,0.01794570571056059,21.20004893883968
0.7710226334049232,0.762240780756648,0.615373774480588,0.02114340958344132,0.024722849014029213,0.7563191805716174,0.7521896231539028,0.08273586794725032,0.10102849348936796,0.018292625542117635,22.109667784932665
0.7852770618556701,0.7724686520432155,0.6355906528175276,0.020766498434236294,0.02423231629549691,0.7657860824742269,0.756826812485954,0.08093438059425295,0.09700433066490949,0.016069950070656536,19.85552981645682
0.7856089165710539,0.7696667792534821,0.6423968550707844,0.02251198563208023,0.026292553713332695,0.7534830355679397,0.7454333031867412,0.08281645976074509,0.09926068965328422,0.01644422989253913,19.856233821206732
0.7785888077858881,0.7680708458517983,0.6285115152391627,0.01958171400484533,0.022760718139899966,0.7526358475263585,0.7455709655134806,0.08273514714597197,0.10086379633274681,0.018128649186774842,21.91166609613923
0.7836005951396925,0.7675793080838872,0.6396658572414132,0.019107210800033105,0.02217207887766115,0.769548685733179,0.7586040403817375,0.0863877225786783,0.10396643405068787,0.017578711472009567,20.34862240522618
0.7757955641272902,0.76402979713555,0.6234777633988575,0.022532987083904776,0.02634160698518595,0.7457409193185471,0.7404380476849596,0.0791600114297451,0.09945858422429879,0.020298572794553688,25.64245814007843
0.775730411686587,0.7642085528476751,0.626581411633177,0.0224116831420275,0.026341606985185895,0.7574701195219123,0.7556408676206011,0.07870359663278936,0.09667822841432991,0.017974631781540545,22.838386745405717
0.779064158224795,0.7703064754152313,0.6284714765784234,0.023999566229133004,0.02810752477190226,0.7560701077343625,0.7508474455703449,0.08165207120472451,0.10046260168531476,0.018810530480590254,23.037419875641625
0.7755507702501242,0.7665709689302446,0.6254429133137187,0.02208937099927177,0.025851074266653562,0.7609739937054829,0.7568361343799941,0.0786124214026463,0.09822827258312303,0.019615851180476734,24.95261032605264
0.7815275310834814,0.767662107598869,0.6323174997237706,0.02177491138770476,0.0252624350044148,0.7636040691102858,0.7535394345396543,0.08228868156622327,0.10123560253314451,0.018946920966921244,23.024941712881102
0.7765233272455587,0.7627441968754941,0.6198921720356219,0.020617815777486184,0.023987049936230742,0.7532790967956168,0.7438706632708176,0.08280057953461878,0.10018514476459472,0.017384565229975946,20.995704773669473
0.7804086928316575,0.7690113826211139,0.6315277461845117,0.023394195697956328,0.027715098597076437,0.7500810898475511,0.7445519584937382,0.08465193761490009,0.10252226264697545,0.017870325032075363,21.11035557552306
0.7879711307137129,0.7725118959870092,0.642158327944655,0.019930366640998516,0.023202197586579043,0.7578187650360866,0.7465383044741936,0.08339404918730017,0.1026763667183806,0.019282317531080423,23.12193462122579
0.7859586251832547,0.7708372305267872,0.638091104546685,0.023716223812840193,0.02786225841263612,0.759081283596677,0.7506505405835787,0.07881927523357773,0.09804983816897092,0.019230562935393186,24.398299627095263
0.7724841190237379,0.760418730542762,0.6169480779045976,0.021054330651732844,0.024771902285882552,0.7539284520227348,0.7488394036446269,0.08405243075128555,0.10018258971324642,0.016130158961960878,19.19059189339884
0.7953458718520879,0.7803889020696761,0.659940315967239,0.020580022804522986,0.023790836848817887,0.763787057698438,0.7526966776975197,0.08426797870254463,0.09823633071798016,0.013968352015435531,16.576109016144862
0.7749917518970637,0.7644564122250137,0.6207662188471654,0.021629232711926193,0.025311488276268057,0.7558561530847905,0.7484429982788918,0.07658958301836938,0.09665015412159747,0.020060571103228092,26.192297062665464
0.7857720291026677,0.7680047616266296,0.6355871976953988,0.022601600978616233,0.026292553713332695,0.7700889248181083,0.757765269777989,0.08224329063544622,0.1003483306650522,0.018105040029605973,22.01400246721505
0.7743413516609393,0.7637193057406287,0.6243665834755635,0.024251148612704873,0.028352791131168453,0.7638684339715267,0.7585233278195291,0.08207742787794703,0.09873504208532669,0.016657614207379656,20.2950002674917
